Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 97.0.4692.99,,,2022-01-30 13:16:50,2022-01-30 13:17:06,16.781s,FAILED
,,,,,,,
Test Cases/Universal/Login/TC-1 Login with Moviestar,Chrome 97.0.4692.99,,,2022-01-30 13:16:50,2022-01-30 13:17:06,16.422s,FAILED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-01-30 13:16:50,2022-01-30 13:16:52,1.360s,PASSED
"setViewPortSize(1920, 1080)",Chrome 97.0.4692.99,,,2022-01-30 13:16:52,2022-01-30 13:16:52,0.132s,PASSED
"System.setProperty(""webdriver.chrome.driver"", ""/home/knoldus/Downloads/chromedriver_linux64/chromedriver"")",Chrome 97.0.4692.99,,,2022-01-30 13:16:52,2022-01-30 13:16:52,0.001s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),Chrome 97.0.4692.99,,,2022-01-30 13:16:52,2022-01-30 13:16:52,0.012s,PASSED
"options.addArguments(""start_maximized"")",Chrome 97.0.4692.99,,,2022-01-30 13:16:52,2022-01-30 13:16:52,0.001s,PASSED
"options.addArguments(""disable-infobars"")",Chrome 97.0.4692.99,,,2022-01-30 13:16:52,2022-01-30 13:16:52,0.001s,PASSED
"options.addArguments(""disable-extensions"")",Chrome 97.0.4692.99,,,2022-01-30 13:16:52,2022-01-30 13:16:52,0.002s,PASSED
"options.addArguments(""--headless"")",Chrome 97.0.4692.99,,,2022-01-30 13:16:52,2022-01-30 13:16:52,0.008s,PASSED
"options.addArguments(""--window-size=1920,1080"")",Chrome 97.0.4692.99,,,2022-01-30 13:16:52,2022-01-30 13:16:52,0.001s,PASSED
navigateToUrl(url),Chrome 97.0.4692.99,,,2022-01-30 13:16:52,2022-01-30 13:17:06,14.506s,FAILED
